step,wall_time_sec,train_loss,lr,tokens_per_sec,val_loss
1,0.1108400821685791,10.824905395507812,0.0,579.5363803190916,
2,0.12738513946533203,10.824905395507812,0.0005,3910.4881054701727,
2,0.13657021522521973,,,,10.824596405029297
3,0.16237330436706543,10.824602127075195,0.001,1833.1873442099009,
4,0.20809721946716309,10.823981285095215,0.0007750000000000001,1402.1544359998954,
4,0.2155923843383789,,,,10.823322772979736
5,0.2320551872253418,10.823559761047363,0.0003250000000000001,2680.414350904171,
